model_size,method,step,n,seeds,live_accuracy_mean,live_accuracy_sd,live_format_mean,live_format_sd,non_live_accuracy_mean,non_live_accuracy_sd,non_live_format_mean,non_live_format_sd,multi_turn_accuracy_mean,multi_turn_accuracy_sd,multi_turn_format_mean,multi_turn_format_sd,average_accuracy_mean,average_accuracy_sd,average_format_mean,average_format_sd
1.5B,dvao,10,2,"3,4",56.80977054034049,1.3084877520106288,0.07401924500370095,0.0,76.875,1.2374368670764582,0.08333333333333334,0.11785113019775793,1.75,0.1767766952966369,0.0,0.0,45.14492351344683,0.907567104794573,0.052450859445678094,0.039283710065919304
1.5B,dvao,20,2,"3,4",63.54552183567728,3.0880310947451077,0.0,0.0,78.96875,0.2209708691207961,0.0,0.0,3.0,0.8838834764831841,0.1634131575124222,0.162786300130523,48.50475727855909,1.2503145673691602,0.054471052504140735,0.05426210004350768
1.5B,dvao,30,2,"3,4",65.5440414507772,0.47105559072382475,2.4426350851221317,3.454407665308078,80.28125,0.10311973892302478,3.875,5.480077554195743,3.0625,0.08838834764831845,1.6478406612226904,0.8436703668417752,49.629263816925736,0.15210806648303948,2.655158582114941,3.2593851954485324
1.5B,dvao,40,2,"3,4",65.61806069578091,1.3084877520106388,49.88897113249445,70.55365958841347,79.41666666666666,1.5615274751202892,49.77083333333333,70.38658751061091,2.0,0.3535533905932739,26.89884216286505,28.351343114428868,49.01157578748253,0.033504555827876197,42.18621554289761,56.43053007115109
1.5B,dvao,50,2,"3,4",66.91339748334568,1.046790201608505,49.740932642487046,70.34430154809178,79.91666666666667,1.7383041704169362,50.0,70.71067811865476,2.4375,0.4419417382415922,31.713006441274633,26.448888560712923,49.755854716670775,0.3778185690166744,43.81797969458722,55.83462274248648
1.5B,dvao,60,2,"3,4",66.83937823834196,1.7795433427344638,50.03700962250185,70.44898056825262,79.77083333333334,0.32409060804383094,50.0,70.71067811865476,2.375,0.1767766952966369,40.204028788111884,23.806281165712566,49.66173719055844,0.426225346464667,46.74701280353791,54.98864661753998
1.5B,dvao,70,2,"3,4",66.83937823834196,1.6748643225736182,50.11102886750555,70.55365958841347,80.42708333333334,0.397747564417433,50.0,70.71067811865476,3.0,1.2374368670764582,53.32361690577876,28.817813452886874,50.08882052389177,0.8381845417442161,51.144881924428105,56.6940503866517
1.5B,dvao,80,2,"3,4",66.65433012583273,0.47105559072382475,50.18504811250926,70.34430154809178,80.63541666666666,0.6629126073623983,50.0,70.71067811865476,2.625,1.9445436482630056,59.439143349869155,29.3390826023514,49.97158226416646,1.0261706154497412,53.2080638207928,56.79802075636598
1.5B,dvao,90,2,"3,4",65.24796447076241,0.47105559072382475,50.96225018504811,69.24517183640285,80.04166666666666,0.02946278254944283,50.354166666666664,70.20981081531428,3.5625,1.3258252147247767,64.13744610785815,26.92333412679797,49.61737704580969,0.6087811959993481,55.15128765319098,55.45943892617169
1.5B,dvao,100,2,"3,4",61.36195410806809,2.4076174636995717,99.81495188749075,0.1570185302412783,75.14583333333334,2.857889907295633,99.86458333333334,0.19150808657135326,4.25,0.3535533905932738,79.2252721159553,6.758580924047961,46.91926248046714,1.8730202538628262,92.9682691122598,2.369035846953531
1.5B,gd2po_hard,10,2,"0,4",56.55070318282753,1.2561482419302061,0.7772020725388601,0.8897716713672323,76.26041666666667,0.30935921676911454,1.1041666666666665,1.3258252147247764,1.5,0.0,0.2756961410908779,0.38989322182464586,44.77037328316474,0.3155963417203672,0.7190216267654682,0.8684967026388849
1.5B,gd2po_hard,20,2,"0,4",63.54552183567728,0.5757346108846703,49.62990377498149,70.1872830178505,76.64583333333333,0.1473139127472041,49.604166666666664,70.1508852502154,2.375,0.0,17.764987364574633,24.933135446254056,47.522118389670204,0.14280689937916208,38.9996859354076,55.090434571439985
1.5B,gd2po_hard,30,2,"0,4",65.50703182827536,0.9421111814476596,50.0,70.71067811865476,77.27083333333334,0.7660323462854232,49.9375,70.62228977100644,2.375,0.0,18.35182157932572,25.541255912257707,48.38428838720289,0.5693811759110242,39.42977385977524,55.62474126730629
1.5B,gd2po_hard,40,2,"0,4",65.72908956328646,0.6280741209651031,50.0,70.71067811865476,78.78125,0.10311973892303483,50.0,70.71067811865476,2.625,0.1767766952966369,24.96210335004073,33.4796103000834,49.045113187762155,0.11605922891514378,41.654034450013576,58.30032217913097
1.5B,gd2po_hard,50,2,"0,4",66.24722427831236,0.6280741209651031,49.96299037749815,70.65833860857433,79.47916666666667,0.08838834764831845,49.9375,70.62228977100644,2.875,1.060660171779821,34.61522070826515,45.27023487472437,49.53379698165968,0.5923742134644177,44.8385703619211,62.18362108476838
1.5B,gd2po_hard,60,2,"0,4",66.17320503330868,1.3608272620910615,51.70244263508512,68.30306065495519,79.9375,0.1767766952966369,50.697916666666664,69.72367490324852,3.875,1.7677669529663687,44.92199659458316,35.863373838639355,49.995235011102885,0.9839391732535945,49.10745196544498,57.96336979894769
1.5B,gd2po_hard,70,2,"0,4",67.32050333086602,0.052339510080422744,100.0,0.0,78.73958333333333,1.1048543456039805,99.75,0.3535533905932738,4.375,1.237436867076458,71.92959010737995,6.903995030322994,50.14502888806645,0.7982102409202855,90.55986336912665,2.419182806972093
1.5B,gd2po_hard,80,2,"0,4",65.69207994078461,4.867574437479571,99.96299037749816,0.052339510080422744,78.40625,1.5762588663950055,99.9375,0.08838834764831845,4.0,0.5303300858899109,78.223245814775,10.073737846155172,49.36610998026153,2.324721129921489,92.70791206409106,3.369928894574366
1.5B,gd2po_hard,90,2,"0,4",66.83937823834196,1.8842223628953092,99.9259807549963,0.0,79.96875,1.3700193885489358,99.9375,0.08838834764831845,4.75,0.0,80.80018891335462,10.0986351040463,50.519376079447326,1.0847472504814166,93.55455655611698,3.3956744838982065
1.5B,gd2po_hard,100,2,"0,4",68.02368615840119,2.5122964838604123,99.96299037749816,0.052339510080422744,79.13541666666667,0.9575404328567764,100.0,0.0,4.1875,0.2651650429449553,83.26823557501626,10.954587133572954,50.448867608355954,1.2450006532207196,94.41040865083814,3.668975547884462
1.5B,grpo,10,3,"0,2,5",44.41154700222057,5.677811668620316,5.40340488527017,3.9020149083929536,58.09027777777778,8.354409112580637,3.076388888888889,2.9661233506854505,0.7083333333333334,0.2886751345948129,0.9448355841018885,0.3952992978775427,34.40338603777723,4.598061340527218,3.141543119420316,2.4089166119403522
1.5B,grpo,20,3,"0,2,5",60.399703923019985,0.8142116950407114,1.5790772267456206,0.841782487502195,77.80555555555556,0.3740342502637492,0.5833333333333333,0.5605676686280712,1.625,0.5,0.930201950738236,0.7573566559187861,46.610086492858514,0.5575695223623105,1.0308708369390631,0.7193416544461589
1.5B,grpo,30,3,"0,2,5",63.38514680483593,0.8153324274294794,32.889217863311124,38.811031956552085,76.95138888888889,0.9115228151794112,41.479166666666664,43.96584157837132,2.166666666666667,0.43898557303553065,14.408709242834762,9.964657585197289,47.501067453463826,0.2002340013778793,29.592364590937517,30.61361255119733
1.5B,grpo,40,3,"0,2,5",63.31112755983222,1.5602676292881714,99.753269183321,0.2379385828026893,75.85416666666667,1.0625,99.36111111111111,0.6374909222302145,2.25,0.33071891388307406,29.093511514022627,4.480972314623309,47.138431408832965,0.7419896545846,76.0692972694849,1.2177310376788362
1.5B,grpo,50,3,"0,2,5",64.05132000986923,1.252508279940491,99.6299037749815,0.12820509308430045,77.29166666666667,0.37034143405482073,99.61805555555556,0.23416271250121748,2.625,0.5448623679425844,25.313713418265703,4.561187390869255,47.989328892178634,0.6920052981981853,74.85389091626759,1.4634931888585518
1.5B,grpo,60,3,"0,2,5",63.26178139649643,0.21367515514049532,99.7779422649889,0.12820509308429226,77.38888888888889,0.746616596783514,99.88194444444444,0.09394270318380311,2.375,0.21650635094610993,24.476180713871393,0.9982576598101377,47.67522342846177,0.16173129134865136,74.7120224744349,0.2750314517786296
1.5B,grpo,70,3,"0,2,5",64.02664692820133,0.6410254654214983,99.9013076733284,0.04273503102810562,77.375,1.0288798520721456,99.875,0.125,3.166666666666667,0.47324236215002297,26.068442350357255,1.901056656220762,48.189437864956,0.356882215975439,75.28158334122855,0.6877833125091132
1.5B,grpo,80,3,"0,2,5",65.06291635825315,0.4502414900294774,99.9013076733284,0.04273503102810562,77.54166666666667,0.311108010897248,99.90277777777779,0.10485881160098044,3.2916666666666665,0.2602082499332664,29.713423710926396,5.833626304364191,48.63208323052883,0.14090290960303192,76.50583638734419,1.9001459965296468
1.5B,grpo,90,3,"0,2,5",63.73056994818653,1.8593422186647615,99.82728842832469,0.08547006205620304,78.25,0.910728874766441,99.95833333333333,0.07216878364870322,2.9166666666666665,0.5636562191028616,33.022997117348524,3.851433445965063,48.29907887161773,0.9656942955018426,77.60287295966886,1.3257633080627915
1.5B,grpo,100,3,"0,2,5",64.15001233654084,0.4076662137147343,99.85196150999259,0.07401924500370427,78.25,0.6137883276106672,100.0,0.0,2.416666666666667,0.590726953281576,39.956720513841475,10.14162117914891,48.2722263344025,0.07955478064707648,79.93622734127803,3.3577535382459827
1.5B,gdpo,10,2,"0,1",55.810510732790526,3.6637657056297828,1.3323464100666174,0.10467902016085082,75.85416666666666,1.7088413878674933,2.25,0.0,1.4375,0.08838834764831845,0.6097271026402218,0.16420166666613548,44.367392466485725,1.8203318137152031,1.3973578375689464,0.019840882168428137
1.5B,gdpo,20,2,"0,1",63.804589193190225,0.6280741209651081,54.51517394522576,63.8018627880386,78.20833333333334,1.7972297355158116,55.239583333333336,61.70979804980099,2.625,1.0606601717798212,18.46049178446475,19.47905972720435,48.21264084217452,0.4548812282336961,42.738416354341275,48.33024018834797
