run_id,model_size,method,seed,step,validation_format,training_format,converged_at_this_step,in_existing_process_curve,bfcl_v4_average_accuracy,bfcl_v4_average_format,bfcl_v4_live_format,bfcl_v4_non_live_format,bfcl_v4_multi_turn_format
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,10,0.0625,0.02490234375,False,True,30.169545192861253,5.81534576081349,9.622501850481125,6.458333333333334,1.3652020986260116
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,20,0.0375,0.01513671875,False,True,46.077108520437534,1.8383800322700428,2.516654330125833,1.2083333333333333,1.7901524333509629
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,30,0.1625,0.1943359375,False,True,47.64483098939058,20.871479670693276,17.394522575869726,29.375,15.844916436210104
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,40,0.9125,0.857421875,True,True,47.738784028291796,75.9000029898833,99.85196150999259,99.72916666666667,28.118880792990673
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,50,0.925,0.88134765625,True,True,48.672115305534994,74.08401850999184,99.7039230199852,99.875,22.67313250999031
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,60,0.925,0.85400390625,True,True,47.858638662718974,74.68706506610991,99.85196150999259,99.97916666666666,24.23006702167047
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,70,0.925,0.88232421875,True,True,48.343850234394274,75.85332443041621,99.9259807549963,100.0,27.633992536252332
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,80,0.925,0.87939453125,True,True,48.480204992186856,76.8993256639488,99.9259807549963,99.91666666666667,30.855329570183436
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,90,0.925,0.8896484375,True,True,49.10667509663624,79.12871128659762,99.9259807549963,100.0,37.46015310479655
haotian_1p5b_grpo_s0_save10,1.5B,grpo,0,100,0.9625,0.89892578125,True,True,48.24352331606217,83.78139285518976,99.7779422649889,100.0,51.56623630058039
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,10,0.05,0.017578125,False,True,33.74575931408833,2.4686928656164406,4.66321243523316,1.8541666666666665,0.8886994949494951
haotian_1p5b_grpo_s2_save10,1.5B,grpo,2,20,0.025,0.0185546875,False,True,46.563790196562216,0.7956365360133805,1.3323464100666174,0.4166666666666667,0.6378965313068574
